"Gene","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000155850","SLC26A2",-5.19334386313692,4.01535092315218,-13.9939986161913,3.83872599274961e-07,0.00268431208942826,6.93884556751447
"ENSG00000231412","LINC03078",-3.09622047543481,2.95864950218336,-12.3383925003307,1.06442494014347e-06,0.00268431208942826,6.08781668990248
"ENSG00000101255","TRIB3",3.29708347887985,2.84336880015421,11.698360040165,1.63295837403743e-06,0.00268431208942826,5.71639281413059
"ENSG00000062038","CDH3",3.32324501788204,1.8737091590701,11.6217019906708,1.72125383206887e-06,0.00268431208942826,5.67014490781609
"ENSG00000064205","CCN5",-2.65907630732245,1.62473703890623,-11.6106704714329,1.73439138657765e-06,0.00268431208942826,5.66345751556979
"ENSG00000167080","B4GALNT2",-3.40152833505514,2.31303393736959,-11.5464427120685,1.81313011079104e-06,0.00268431208942826,5.62436081824027
"ENSG00000088992","TESC",3.65043384284021,3.79442966238922,11.126313282496,2.43761288646729e-06,0.00268431208942826,5.36166965049858
"ENSG00000182271","TMIGD1",-4.91680483675936,3.10206466043845,-11.0712161296313,2.5359429136747e-06,0.00268431208942826,5.32630248074478
"ENSG00000254645","LOC105376567",-2.05491902943051,1.2837598253624,-11.048794597813,2.57721285667972e-06,0.00268431208942826,5.31184767998326
"ENSG00000152785","BMP3",-2.39458327293273,1.40322975084858,-10.949917805024,2.76833041254061e-06,0.00268431208942826,5.24766996994772
"ENSG00000005001","PRSS22",4.38194893607487,2.96607818440739,10.8823675117018,2.90793773346514e-06,0.00268431208942826,5.20341536967135
"ENSG00000095110","NXPE1",-2.4022124101022,2.1097690007904,-10.7880001397849,3.11624174038853e-06,0.00268431208942826,5.14102794757726
"ENSG00000122756","CNTFR",-2.57880841140747,1.71691351970244,-10.777765007712,3.13981323105879e-06,0.00268431208942826,5.13422153631607
"ENSG00000109182","CWH43",-2.58517322016091,1.81797009083898,-10.7393868527287,3.2299777861695e-06,0.00268431208942826,5.10862998427156
"ENSG00000103375","AQP8",-7.22969644447158,5.61226767475418,-10.7329751826305,3.24531968577609e-06,0.00268431208942826,5.10434372880878
"ENSG00000133742","CA1",-5.34901366261246,3.85876108286054,-10.2322484953986,4.73576764638373e-06,0.00325224878442205,4.75981336313633
"ENSG00000148483","TMEM236",-2.37146841114204,1.82621780941239,-10.2198382856741,4.78130287227236e-06,0.00325224878442205,4.75102270565011
"ENSG00000173597","SULT1B1",-2.7330832001356,3.46050935038746,-10.0386883920725,5.50440606596927e-06,0.00325224878442205,4.62127437073076
